FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
ESTUSROMC,U,EST,SROMC,91,Request Support Order\nEstablishment for Medical\nCoverage Only
ESTUSROOC,U,EST,SROOC,92,Request Support Order\nEstablishment for Other Costs\nOnly
ESTUSROPP,U,EST,SROPP,93,Request Support Order\nEstablishment for a Prior\nPeriod Only
ESTUSRORD,U,EST,SRORD,94,Request Support Order\nEstablishment – All Available\nSupport Types
ESTUSROSS,U,EST,SROSS,95,Request Support Order for\nSpousal Support
LO1RBLANK,R,LO1,BLANK,96,QUICK LOCATE REQUEST
LO1PLICAD,P,LO1,LICAD,97,"QUICK LOCATE RESPONSE, ADDRESS LOCATED BUT NOT CONFIRMED"
LO1PLICEM,P,LO1,LICEM,98,"QUICK LOCATE RESPONSE, EMPLOYER FOUND BUT NOT CONFIRMED"
LO1PLSADR,P,LO1,LSADR,99,"QUICK LOCATE RESPONSE, ADDRESS LOCATED AND CONFIRMED"
LO1PLSALL,P,LO1,LSALL,100,"QUICK LOCATE RESPONSE, BOTH AN ADDRESS AND EMPOYER LOCATED AND CONFIRMED"
LO1PLSEMP,P,LO1,LSEMP,101,"QUICK LOCATE RESPONSE, EMPLOYER LOCATED AND CONFIRMED"
LO1PLSOTH,P,LO1,LSOTH,102,"QUICK LOCATE RESPONSE, OTHER INFORMATION FOUND"
LO1PLUALL,P,LO1,LUALL,103,"QUICK LOCATE RESPONSE, NO INFORMATION FOUND"
LO1PLUAPD,P,LO1,LUAPD,104,"QUICK LOCATE RESPONSE, NCP FOUND DECEASED"
MSCPGIHER,P,MSC,GIHER,105,"MANAGING STATE CASES, PROVISION/RESPONSE, NOTICE OF AN UPCOMING HEARING"
MSCPGSADD,P,MSC,GSADD,106,"MANAGING STATE CASES, PROVISION/RESPONSE, ADD DEPENDENT PARTICIPANT"
MSCPGSC02,P,MSC,GSC02,107,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(1)"
MSCPGSC03,P,MSC,GSC03,108,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(2)"
MSCPGSC05,P,MSC,GSC05,109,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(4)(I)"
MSCPGSC5B,P,MSC,GSC5B,110,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(4)(II)"
MSCPGSC06,P,MSC,GSC06,111,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(5)"
MSCPGSC07,P,MSC,GSC07,112,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(6)"
MSCPGSC08,P,MSC,GSC08,113,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(7)"
MSCPGSC09,P,MSC,GSC09,114,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(8)"
MSCPGSC10,P,MSC,GSC10,115,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(9)"
MSCPGSC11,P,MSC,GSC11,116,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(10)"
MSCPGSC12,P,MSC,GSC12,117,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(11)"
MSCPGSC4A,P,MSC,GSC4A,118,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(3)(I)"
MSCPGSC4B,P,MSC,GSC4B,119,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(3)(II)"
MSCPGSC4C,P,MSC,GSC4C,120,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(3)(III)"
MSCPGSC13,P,MSC,GSC13,121,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(12)"
MSCPGSC14,P,MSC,GSC14,122,"MANAGING STATE CASES, PROVISION/RESPONSE, NOTICE OF INTENT TO CLOSE CASE 45CFR 303.11(C)"
MSCPGSC15,P,MSC,GSC15,123,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(14)]"
MSCPGSC16,P,MSC,GSC16,124,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.7(D)(10)]"
MSCPGSC17,P,MSC,GSC17,125,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.7(C)(12)]"
MSCPGSC18,P,MSC,GSC18,126,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.7(D)(9)]"
MSCPGSCAS,P,MSC,GSCAS,127,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE LOCAL CASE ID"
MSCPGSDEL,P,MSC,GSDEL,128,"MANAGING STATE CASES, PROVISION/RESPONSE, DELETE DEPENDENT PARTICIPANT"
MSCPGSFIP,P,MSC,GSFIP,129,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE LOCAL FIPS CODE"
MSCPGSFWD,P,MSC,GSFWD,130,"MANAGING STATE CASES, PROVISION/RESPONSE, NOTICE OF CASE FORWARDING"
MSCPGSMAD,P,MSC,GSMAD,131,"MANAGING STATE CASES, PROVISION/RESPONSE, MEDICAL INSURANCE ADDITION"
MSCPGSMDE,P,MSC,GSMDE,132,"MANAGING STATE CASES, PROVISION/ RESPONSE, MEDICAL INSURANCE DELETION"
MSCPGSPAD,P,MSC,GSPAD,133,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF PAYMENT MAILING ADDRESS/REDIRECT PAYMENT"
MSCPGSPAY,P,MSC,GSPAY,134,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF PAYEE"
MSCPGSPUD,P,MSC,GSPUD,135,"MANAGING STATE CASES, PROVISION/RESPONSE, PROVIDING STATUS UPDATE"
MSCPGSTAI,P,MSC,GSTAI,136,"MANAGING STATE CASES, RESPONSE/PROVISION, PROVIDE INTEREST INFORMATION]"
MSCPGSTYP,P,MSC,GSTYP,137,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF CASE TYPE"
MSCPGSWKR,P,MSC,GSWKR,138,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF CASEWORKER OR OFFICE"
MSCPLICAD,P,MSC,LICAD,139,"MANAGING STATE CASES, PROVISION/RESPONSE, ADDRESS FOUND BUT NOT CONFIRMED"
MSCPLSADR,P,MSC,LSADR,140,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP ADDRESS LOCATED AND CONFIRMED"
MSCPLSEMP,P,MSC,LSEMP,141,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP EMPLOYER FOUND AND CONFIRMED"
MSCPLSOUT,P,MSC,LSOUT,142,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP OUT OF STATE ADDRESS LOCATED AND CONFIRMED"
MSCPLUAPD,P,MSC,LUAPD,143,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP FOUND DECEASED"
MSCPREJCT,P,MSC,REJCT,144,"– MANAGING STATE CASES, PROVISION/PRESPONSE, CASE ID INVALID"
MSCRGRINT,R,MSC,GRINT,145,"MANAGING STATE CASES, REQUEST, REQUEST FOR INTEREST INFORMATION]"
MSCRGRPAY,R,MSC,GRPAY,146,"MANAGING STATE CASES, REQUEST, REQUEST TO CHANGE PAYEE]"
MSCRGRPOC,R,MSC,GRPOC,147,"MANAGING STATE CASES, REQUEST, COPIES OF DOCUMENTATION"
MSCRGRUPD,R,MSC,GRUPD,148,"MANAGING STATE CASES, REQUEST, REQUEST FOR STATUS UPDATE"
MSCPBlank,P,MSC,Blank,149,Reason Explained in\nInformation Data Block
MSCPGSC4D,P,MSC,GSC4D,150,"Case Closure Reason 45CFR\n303.11(b)(3)(iv); paternity\ncannot be established because:\nThe identity of the biological\nfather is unknown and cannot\nbe identified after diligent\nefforts, including at least one\ninterview by the IV-D agency\nwith the recipient of services."
MSCPGSSTA,P,MSC,GSSTA,151,Change of Case Status
MSCPGSUPD,P,MSC,GSUPD,152,Unsolicited Information
MSCPLICEM,P,MSC,LICEM,153,NCP Employer Found But Not\nConfirmed
MSCPLSOTH,P,MSC,LSOTH,154,Other Information Found
MSCRGRBTR,R,MSC,GRBTR,155,Request to Schedule Genetic\nTesting
MSCRGRAFI,R,MSC,GRAFI,156,Request Completion of\nInterrogatories
MSCUGRAFI,U,MSC,GRAFI,157,Request Completion of\nInterrogatories
MSCRGRAGT,R,MSC,GRAGT,158,Request Assistance with\nGenetic Testing
MSCUGRAGT,U,MSC,GRAGT,159,Request Assistance with\nGenetic Testing
MSCRGRFIN,R,MSC,GRFIN,160,Request Financial Data/Proof of\nRespondent’s Income
MSCUGRFIN,U,MSC,GRFIN,161,Request Financial Data/Proof of\nRespondent’s Income
MSCRGRGAP,R,MSC,GRGAP,162,Request Assistance with\nService of Process
MSCUGRGAP,U,MSC,GRGAP,163,Request Assistance with\nService of Process
MSCRGRTHD,R,MSC,GRTHD,164,Request Assistance with\nTeleconference for Hearing or\nDeposition
MSCUGRTHD,U,MSC,GRTHD,165,Request Assistance with\nTeleconference for Hearing or\nDeposition
MSCUGRPOC,U,MSC,GRPOC,166,Request Copies of\nDocumentation
PATRBLANK,R,PAT,BLANK,167,PATERNITY ESTABLISHMENT REQUEST
PATAAADIN,A,PAT,AADIN,168,"PATERNITY ACKNOWLEDGMENT, ADDITIONAL INFORMATION NEEDED TO PROCEED"
PATAANOAD,A,PAT,ANOAD,169,"PATERNITY ACKNOWLEDGMENT, NO FURTHER INFORMATION REQUIRED"
PATPPIBTS,P,PAT,PIBTS,170,"PATERNITY ESTABLISHMENT PROVISION OF INFORMATION, GENETIC TEST SCHEDULED"
PATPPICHS,P,PAT,PICHS,171,"PATERNITY ESTABLISHMENT PROVISION OF INFORMATION, PATERNITY HEARING SCHEDULED"
PATPPIPNS,P,PAT,PIPNS,172,"PATERNITY ESTABLISHMENT PROVISION OF INFORMATION, PUTATIVE FATHER DID NOT SHOW FOR GENETIC TEST"
PATPPSESO,P,PAT,PSESO,173,"PATERNITY ESTABLISHMENT PROVISION OF INFORMATION, PATERNITY ESTABLISHED WITH SUPPORT ORDER"
PATPPSEST,P,PAT,PSEST,174,"PATERNITY ESTABLISHMENT PROVISION OF INFORMATION, PATERNITY ESTABLISHED JUDICIAL ORDER, NO SUPPORT ORDER"
PATPPSSTO,P,PAT,PSSTO,175,"PATERNITY ESTABLISHMENT PROVISION OF INFORMATION, ADMINISTRATIVE ADJUDICATION OF PATERNITY, NO SUPPORT ORDER"
PATPPUEST,P,PAT,PUEST,176,"PATERNITY ESTABLISHMENT PROVISION OF INFORMATION, PATERNITY NOT ESTABLISHED"
PATABLANK,A,PAT,BLANK,177,Paternity Acknowledgment
PATCBLANK,C,PAT,BLANK,178,"Paternity Establishment, Cancel\nPrevious Request"
PATMBLANK,M,PAT,BLANK,179,Reminder Transaction
PATMGRPOU,M,PAT,GRPOU,180,Attachments Overdue
PATPGSFIL,P,PAT,GSFIL,181,Document Filed
PATPPIHNS,P,PAT,PIHNS,182,Putative Father Did Not Show\nfor Paternity Court Hearing
PATPPIPUD,P,PAT,PIPUD,183,Putative Father Has Denied\nPaternity
PATPPUDEN,P,PAT,PUDEN,184,Paternity Establishment\nRequest Denied
PATUBLANK,U,PAT,BLANK,185,Update Previous Request
